username,rocketleaguewins,rocketleaguegoalshotratio,rocketleaguegoals,rocketleagueshots,rocketleagueassists,rocketleaguesaves,rocketleaguemvps,rocketleaguerank1s,rocketleaguemmr1s,rocketleaguerank2s,rocketleaguemmr2s,rocketleaguerank3s,rocketleaguemmr3s,valorantadr,valorantkills/round,valorantk/d,valorantheadshotpercentage,valorantwinpercentage,valorantwins,valorantkills,valorantdeaths,valorantassists,valorantheadshots,valorantaces,valoranttopagent,valoranttopweapon,valorantrating,csgowins,csgok/d,csgokills,csgowinpercentage,csgomvps,csgoshotaccuracy,csgomoneyearned,csgotopweapon,lolsoloqrank,lolflexqrank
Botsling,0,0.0,0,0,0,0,0,,0,,0,,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,,,,835,0.95,37578,43.1,3429,15.9,117347400,AK-47,,
Breyy,1000,45.4,2058,4536,954,1244,390,Diamond II Division I,877,Diamond I Division II,954,Diamond II Division IV,1117,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,,,,581,1.91,37231,53.3,5110,23.2,66135417,AK-47,Unranked,Unranked
Maddisch,3324,48.0,9777,20356,3698,5037,1105,Diamond I Division IV,859,Champion I Division I,1222,Diamond III Division III,1184,121.4,0.0,0.81,17.0,27.3,3,130,160,45,58,0,Cypher,Vandal,Unrated,695,0.89,35407,38.1,3962,18.6,102384250,AWP,Bronze 2,Unranked
Maku,229,54.3,579,1067,250,266,44,Silver III Division II,411,Gold I Division II,503,Gold III Division I,615,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,,,,0,0.0,0,0.0,0,0.0,0,,,
Mistersauber,0,0.0,0,0,0,0,0,,0,,0,,0,160.2,0.0,1.4,15.0,72.2,13,340,243,79,156,0,Jett,Vandal,Unrated,0,0.0,0,0.0,0,0.0,0,,Unranked,Unranked
Pattifix,2947,49.5,8840,17858,2836,6185,1683,Diamond III Division II,940,Champion I Division II,1255,Diamond II Division III,1098,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,,,,1307,1.16,73080,41.5,9337,19.7,128393816,AK-47,Bronze 2,Unranked
Rainingstorm,819,52.9,2373,4488,735,983,100,Platinum II Division II,699,Diamond I Division III,972,Platinum II Division III,828,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,,,,0,0.0,0,0.0,0,0.0,0,,Gold 2,Unranked
Stachosson,0,0.0,0,0,0,0,0,,0,,0,,0,117.6,0.0,0.76,15.0,40.5,15,463,612,181,222,0,Brimstone,Phantom,Silver 1,177,0.63,5846,40.0,685,14.9,28961900,AK-47,Unranked,Unranked
Stathogon,0,0.0,0,0,0,0,0,,0,,0,,0,137.3,0.0,0.92,11.0,52.2,84,2400,2618,890,975,0,Raze,Vandal,Gold 2,511,1.0,21086,42.1,2059,21.6,58841500,AK-47,Silver 2,Unranked
